gene	id	patient 1 - sample 1	patient 1 - sample 2	patient 1 - sample 3	patient 2 - sample 1	patient 2 - sample 2	patient 2 - sample 3	patient 3 - sample 1	patient 3 - sample 2	patient 4 -sample 1	patient 4 -sample 2	patient 4 -sample 3	patient 4 -sample 4	patient 5 - sample 1	patient 5 - sample 2	patient 6 - sample 1	patient 6 - sample 2	patient 6 - sample 3	patient 6 - sample 4	patient 7 - sample 1	patient 7 - sample 2	patient 7 - sample 3
possible_lung_gene_1	1	789.8886028	1072.389832	434.1287381	0	0	0	0	0	0	0	593.5573372	0	0	0	0	0	0	0	598.9796148	519.0413268	798.4630269
possible_lung_gene_2	2	880.7144177	871.9291317	909.5947199	0	0	0	0	0	0	0	620.2006162	0	0	0	0	0	0	0	219.3539273	1168.512153	51.44603717
possible_lung_gene_3	3	794.8603037	23.33643438	675.0153509	0	0	0	0	0	0	0	449.7403487	0	0	0	0	0	0	0	945.1234872	951.3602522	1002.629615
possible_colon_gene_1	4	0	0	0	364.9507609	16.63473334	1063.308501	46.38022884	393.8198181	998.0257472	904.4561127	0	1157.075669	533.734956	1104.595557	1126.558943	828.9733323	240.6891818	702.0464135	0	0	0
possible_colon_gene_2	5	0	0	0	511.2869255	491.4196129	725.6108374	317.6261952	300.4558084	870.0862569	810.7216892	0	991.302432	874.7766917	75.48187389	601.0758458	59.47407606	588.4934082	87.35412389	0	0	0
possible_colon_gene_3	6	0	0	0	242.487665	798.4431246	403.5191679	255.3401647	589.3495576	95.5976478	158.0914571	0	709.7927567	968.2559074	134.8588051	541.9173701	1064.084059	463.1353488	145.8525297	0	0	0
possible_lung_gene_4	7	0	1101.140543	0	514.3383522	210.5495925	0	0	0	959.9858208	0	385.6294057	0	0	0	530.9736317	0	0	0	0	683.8445557	0
unknown_gene-0001	8	90.2533803	0	0	0	0	0	0	0	0	0	1043.946772	530.8277165	0	122.4441599	798.4456056	0	659.2130512	304.5080857	431.8030191	162.5651292	0
unknown_gene-0002	9	0	111.752671	0	0	415.2899017	0	0	0	0	0	0	38.49051982	60.31109189	0	240.2546494	0	0	204.9141797	924.1557014	0	0
unknown_gene-0003	10	0	0	0	190.9507478	0	0	1015.576465	0	777.3426287	1163.478847	309.8104495	0	450.871397	529.3134839	713.7282615	0	306.0880938	235.8153666	275.9976368	641.8632198	53.00951028
unknown_gene-0004	11	723.5368101	0	140.1733268	723.6749844	0	188.0312227	468.7896912	0	417.422934	409.0335784	0	772.2069498	50.20546579	909.4828582	0	696.1761891	0	0	998.072186	0	14.40317712
unknown_gene-0005	12	1094.440691	103.6025827	1016.599092	181.0697748	207.1763514	0	1022.122029	745.4982373	0	390.7418472	733.0004655	213.418318	0	0	594.7790007	0	805.6830793	1066.84881	0	903.5516221	565.3089843
unknown_gene-0006	13	0	0	300.1910406	619.7875101	0	0	0	959.0419024	151.2301274	0	1099.996519	0	0	0	891.8459438	801.1782905	987.1525539	663.182694	0	0	0
unknown_gene-0007	14	0	0	0	913.7801581	0	0	630.1649062	0	0	0	0	0	740.5687557	449.6652908	732.9490362	0	0	705.1367363	661.968705	0	775.775525
unknown_gene-0008	15	410.0638922	1004.967092	469.2063154	838.3203262	137.4628983	365.086648	403.5829935	698.7272095	0	1170.199903	693.6468676	974.1309879	0	0	809.7923633	0	567.8744643	0	1113.445078	0	241.5423644
unknown_gene-0009	16	501.6698772	0	653.6201768	0	0	0	0	303.1880038	0	0	0	1197.258591	0	960.36677	0	1091.157178	166.3733804	0	0	41.64999341	136.7475149
unknown_gene-0010	17	178.8005941	0	1098.340486	838.3720304	0	100.0971817	336.1036401	0	557.6747859	580.4113544	1013.287846	170.8396826	137.5755324	556.0957569	410.6096482	0	946.0582463	0	900.575191	0	290.2606322
unknown_gene-0011	18	0	0	0	0	0	120.9391438	0	0	0	0	0	544.3590349	420.9067252	0	68.26367861	0	0	0	0	0	0
unknown_gene-0012	19	0	326.5550893	0	1184.009908	245.7795936	0	837.5652275	0	974.0132577	0	0	875.856592	389.8943273	902.5405045	0	0	270.6872516	0	0	0	0
unknown_gene-0013	20	0	31.78948723	190.4357138	0	0	298.9950489	781.2277927	0	782.8631696	998.2790641	885.0533852	0	0	0	1179.785594	0	759.1420534	925.7682917	0	0	872.9095002
unknown_gene-0014	21	962.714445	1186.384728	0	0	121.4216056	0	0	849.4338122	549.2746987	0	0	0	0	896.7686972	0	0	819.2352614	0	214.1901483	632.938155	944.4160529
unknown_gene-0015	22	716.388015	257.2709343	0	636.5141184	0	508.5042583	0	790.5886442	0	1043.195076	0	412.0050807	202.0360143	0	0	835.209103	0	0	0	941.0840281	528.9669309
unknown_gene-0016	23	971.0675716	0	481.3300968	0	0	0	0	0	453.8914242	0	0	0	654.7748831	0	1020.573708	0	1067.0385	416.9926081	0	0	0
unknown_gene-0017	24	0	1083.24814	0	615.701228	553.3194566	0	0	0	0	346.8252326	0	0	983.7982933	0	0	0	0	526.0274622	18.9054078	0	0
unknown_gene-0018	25	295.9719074	0	0	0	0	235.8302521	810.3187495	0	82.45630394	873.154176	51.57324607	509.1353848	673.5302826	0	0	0	0	181.2417083	0	949.1756836	15.11574027
unknown_gene-0019	26	0	0	129.8638605	863.8791437	650.2812176	1122.207432	0	0	916.248565	0	1059.362735	781.0887383	0	533.5308584	0	0	0	0	0	0	0
unknown_gene-0020	27	1171.31405	47.8423144	0	0	0	559.9830651	420.8568405	0	0	0	0	0	1206.379861	243.4858874	0	0	385.6944597	0	0	1145.592156	0
unknown_gene-0021	28	0	0	0	0	0	0	0	231.4500133	639.4839151	0	0	0	0	0	0	0	1140.119793	666.1327502	0	420.1874364	1106.360246
unknown_gene-0022	29	0	734.7850643	0	0	0	0	307.8902678	1194.212189	0	188.9595414	0	638.8610171	0	894.5213943	659.6940251	421.0965835	0	0	1025.265268	888.3514899	0
unknown_gene-0023	30	664.5040568	0	212.4328335	0	0	861.662193	430.5386711	0	0	896.2998817	0	0	322.1038474	760.4261243	0	0	0	1186.578102	234.6746367	0	0
unknown_gene-0024	31	350.7771099	1052.914783	678.096676	0	1053.75883	315.295849	0	0	0	0	681.1037342	0	0	0	0	375.3038713	0	0	337.4637517	75.38095918	1029.803095
unknown_gene-0025	32	434.2366716	117.9397617	1194.028276	654.2149878	487.6617808	138.39696	0	0	0	511.8909665	0	0	822.8995468	0	438.0153712	0	0	0	0	692.3869681	0
unknown_gene-0026	33	0	176.2901639	0	869.5101894	500.2221734	45.96523438	1135.106125	548.4934696	686.4559533	1020.936747	0	0	1051.874117	0	0	542.0075126	889.7791309	80.92742547	0	0	0
unknown_gene-0027	34	221.4798869	0	802.739212	0	0	0	0	151.9178749	0	344.0676636	861.7217503	0	0	0	0	0	0	0	0	0	928.8764762
unknown_gene-0028	35	831.3573733	1124.451677	0	0	167.7061968	0	597.8258291	0	321.1315786	1045.682852	1013.541842	520.84751	0	0	0	570.8304874	0	0	0	0	1012.551481
unknown_gene-0029	36	597.8933691	612.2385964	0	763.1333305	0	0	618.5992125	0	127.455539	939.0744817	0	221.9837098	0	0	367.4371314	527.9135366	0	0	0	276.4651886	0
unknown_gene-0030	37	1147.389907	0	0	0	231.485097	0	0	0	0	751.3197296	225.0083099	0	295.0676781	652.9940228	323.3335841	976.0732287	0	143.2922642	0	0	0
unknown_gene-0031	38	1111.123989	0	0	0	0	225.6771317	421.5088961	0	0	62.3955008	0	1009.509357	751.8599898	0	0	166.5322595	782.1304577	1036.529927	1065.134615	465.2925209	967.9296507
unknown_gene-0032	39	0	0	0	41.64485788	404.2852766	0	407.7430741	165.0507914	0	0	0	0	367.397272	808.0198707	562.73298	0	0	0	0	0	0
unknown_gene-0033	40	938.6247941	392.9286518	0	451.9407231	0	0	0	0	585.5574845	0	1080.117773	201.2446945	785.120328	0	432.9749059	0	0	1013.544888	391.4748804	483.1036287	0
unknown_gene-0034	41	735.3781875	0	645.4718362	0	105.8596805	0	396.3660037	902.9415948	585.7224459	0	319.7622306	244.6051206	789.4296679	363.3797621	578.2555505	0	0	0	0	0	0
